stadium_id,name,known_names,lat,lon,coord_basis,coord_osm,roof_type,roof_source,field_bearing,field_osm_way_id,field_length_m,bearing_basis,outline_axis_deg,source_note
ATL97,Mercedes-Benz Stadium,Mercedes-Benz Stadium,33.75542,-84.40085,osm_stadium_center,way/536744534,retractable,https://en.wikipedia.org/wiki/Mercedes-Benz_Stadium,,,,null_no_field,68.6,"OSM maps the building only, no field polygon."
BAL00,M&T Bank Stadium,M&T Bank Stadium,39.27797,-76.62270,osm_field_centroid,way/172620322,open,https://en.wikipedia.org/wiki/M&T_Bank_Stadium,110.1,172620322,113.5,osm_field_outline_disagrees,20.3,"Outline axis 90 deg off, but the building is near-square (aspect 1.06) so its axis is meaningless; field polygon is a clean 113.5x52.5 m NFL field and was kept."
BOS00,Gillette Stadium,Gillette Stadium,42.09093,-71.26435,osm_field_centroid,way/129176835,open,https://en.wikipedia.org/wiki/Gillette_Stadium,162.4,129176835,120.9,osm_field_agrees,162.5,
BUF00,Highmark Stadium,Highmark Stadium|New Era Field,42.77304,-78.79219,osm_stadium_center,way/1339149058,open,https://en.wikipedia.org/wiki/Highmark_Stadium,,,,null_no_field,169.4,"KNOWN GAP, fill by hand first: OSM 'Highmark Stadium' is the new building (outline axis ~169 deg); the only nearby field (way 648483761, 71.5 deg) lies outside it and is the old stadium's -- 82 deg off, would swap headwind/crosswind. Open-air and the most wind-sensitive venue in the league, so this is where the split matters most. Also: nflverse kept BUF00 across the move next door, and 'Highmark Stadium' named both buildings, so neither the ID nor the name distinguishes old from new."
CAR00,Bank of America Stadium,Bank of America Stadium,35.22583,-80.85284,osm_field_centroid,way/187011790,open,https://en.wikipedia.org/wiki/Bank_of_America_Stadium,139.9,187011790,105.4,osm_field_agrees,139.7,
CHI98,Soldier Field,Soldier Field,41.86232,-87.61670,osm_field_centroid,way/91535224,open,https://en.wikipedia.org/wiki/Soldier_Field,175.8,91535224,110.1,osm_field_agrees,175.8,
CIN00,Paycor Stadium,Paul Brown Stadium|Paycor Stadium,39.09545,-84.51605,osm_field_centroid,way/32946979,open,https://en.wikipedia.org/wiki/Paycor_Stadium,141.4,32946979,127.5,osm_field_outline_disagrees,161.0,"Outline axis ~20 deg off; building is near-square (aspect 1.12). Field polygon includes sideline turf (127.5x84.8 m, fill 0.88) but its long axis is unambiguous; kept."
CLE00,Huntington Bank Field,FirstEnergy Stadium|Huntington Bank Field,41.50603,-81.69958,osm_field_centroid,way/172658198,open,https://en.wikipedia.org/wiki/Huntington_Bank_Field,55.9,172658198,113.1,osm_field_agrees,55.6,
DAL00,AT&T Stadium,AT&T Stadium,32.74784,-97.09284,osm_field_centroid,way/126705643,retractable,https://en.wikipedia.org/wiki/AT&T_Stadium,68.8,126705643,141.8,osm_field_agrees,68.9,"Polygon is the whole stadium floor (141.8x98.9 m), not the field lines; its axis matches the building's."
DEN00,Empower Field at Mile High,Empower Field at Mile High|Sports Authority Field at Mile High,39.74395,-105.02011,osm_stadium_center,relation/4423254,open,https://en.wikipedia.org/wiki/Empower_Field_at_Mile_High,0.2,72605220,110.4,osm_field_agrees,0.7,
